dish_name,ingredient_name
Chettinad Sweet Paniyaram Recipe - Chettinad Sweet Paniyaram Recipe,"cardamom powder,salt,idli dosa mixture,coconut,jaggery,rice rava,water,oil"
Mini Dal Samosa Curry / Sabzi Recipe,"cashew nuts,black cardamom,tomato,kashmiri red chilli powder,samosas mini,green chilli,ginger,cardamompodsseeds,bay leaf,cloves cloves,black peppercorns,sugar,cinnamon stick,mace,onion,coriander powder,turmeric powder,kasuri methi,garam masala powder,sunflower oil"
Spinach Garlic Bruschetta Recipe With Red Bell Pepper Sauce,"tomato,salt,baguette,italian,garlic,onion,cheddar cheese,black pepper powder,tomato pasta sauce,spinach leaves,butter,red bell pepper("
Mini Dal Mature Chat Recipe - That Perfect Party Snack,"asafoetida,ajwain,curry leaves,onion,cumin seeds,turmeric powder,green chillies,chana dal,sunflower oil,salt,wheat flour,sev,pomegranate fruit kernels,flour,green chutney,garam masala powder,red chilli powder,sweet chutney,sugar,amchur,ghee"
Asian Style Sweet & Spicy Green Beans Recipe,"salt,green beans,rice wine vinegar,sesameoil,cloves garlic,soy sauce,thai sweet chilli sauce,lemon,peanuts"
Chinese Darsaan Recipe With Ice Cream,"baking powder,water make the dough,water,sugar,vanilla,flour,sesame seedswhite,sunflower oil"
Sundakkai and Methi Leaves Sambar Recipe - Sundkai Methi Sambar Recipe,"tomato,turmeric powder,salt,corianderleaves,fenugreek,sundkai,asafoetida,water,mustard,dry red chilli,curry leaves,oil,coriander powder,arhar dal,tamarind,sambar powder,cumin seeds"
"Cabbage, Spinach, Pomegranate Slaw with Lemon Dressing Recipe","salt,spinach,virgin olive oil,lemon,pomegranate fruit kernels,cabbage,pepper"
Matar Samosa Recipe -Green Pea Samosa,"salt,cinnamon powder,amchur,ghee,red chilli powder,green peas,water,green chilli sauce,cumin seeds,flour,garam masala powder,sunflower oil"
Eggless Chocolate Cupcakes With Raspberry & Cheese Frosting,"cheese,baking powder,britannia,raspberries,milk,salted butter,baking soda,sugar,vanilla,dark chocolate,caster sugar,cocoa powder,flour"
Kerala pala pradham recipe,"ada,ghee,sugar,cardamom powder,milk full"
Tindora Sambharo Recipe - Instant Tendli Pickle,"salt,sunflower oil,asafoetida,red chilli powder,split methi seeds,tindora,lemon,turmeric powder,split mustard seeds"
Chettinad Style Chicken Roast Recipe,"jaggery,cloves garlic,black peppercorns,curry leaves,corianderseeds,onion,cumin seeds,turmeric powder,chicken legs,sunflower oil,salt,cardamompodsseeds,dry red chillies,tamarind paste,kalonji,coconut,mustard seeds,methi seeds,hung curd,ginger,ghee,fennel seeds,cinnamon stick,cloves"
Palakottai Kujambu Recipe-Kongunad Style Jackfruit Seeds Curry,"tomato,coriander,jackfruit seeds,salt,tamarind water,mustard seeds,asafoetida,coconut,red chilli powder,cloves garlic,black peppercorns,curry leaves,dry red chillies,onion,cumin seeds,corianderseeds,turmeric powder,sambar powder,sunflower oil"
Baingan Bharta Recipe - Brinjal Bharta Recipe,"tomato,turmeric powder,salt,ginger,red chilli powder,eggsplant,coriander,onion,oil,coriander powder,green chillies,butter,garam masala powder"
Kesar Chai Recipe - A Delicious Saffron Flavored Indian Tea,"milk,water,saffron strands,tea leaves"
Pacha Manga Pachadi Recipe - Tamil Nadu Raw Mango Pachadi Recipe,"turmeric powder,salt,tamarind water,asafoetida,jaggery,mustard,curry leaves,dry red chillies,oil,mango,sambar powder"
Short Knot Husband Recipe - Raw Jackfruit & Black Chickpea Stir Fry,"tomato,jackfruit seeds,ginger,tamarind water,mustard seeds,coconut,cloves garlic,curry leaves,dry red chillies,corianderseeds,cumin seeds,cinnamon stick,turmeric powder,cloves,kala chana"
Whole Wheat Crepe Recipe With Herbed Vegetables,"salt,wheat flour,red bell pepper,cheese flavoured,italian,parsley leaves,onion,broccoli"
Makki and Methi Roti Recipe,"salt,makki ka atta,kashmiri red chilli powder,ajwain,methi leaves,green chillies"
Cabbage and Carrot Sambharo Recipe - Gujarati Vegetable Stir Fry,"salt,mustard seeds,asafoetida,carrot,curry leaves,sugar,lemon,green bell pepper,turmeric powder,green chillies,cabbage,sunflower oil"
Whole Wheat Pita Bread Recipe,"salt,wheat flour,water,dry yeast,virgin olive oil,sugar,flour"
Andhra Steel Tomato Knock Recipe (Tomato Chutney),"tomato,salt,mustard seeds,red chilli powder,cloves garlic,dry red chillies,methi seeds,tamarind paste,turmeric powder,sunflower oil"
Herbal Brown Rice Recipe - Herbal Brown Rice Recipe,"salt,brown rice,rosemary,red chilli flakes,water,onion,garlic,oil,oregano"
Rajasthani very roti recipe,"salt,wheat flour,water,ghee"
Peerkangai Thogayal Recipe (Ridge Gourd Peel Chutney),"salt,ridge gourd skin,mustard seeds,curry leaves,white urad dal,dry red chillies,methi seeds,tamarind,sunflower oil"
Dalia Pakora Recipe - Dalia Pakora Recipe,"salt,wheat,water make pakora batter,enos fruit salt,green chilli,corianderleaves,ajwain,sunflower oil the pakoras,gram flour,onion,cumin seeds,turmeric powder,sunflower oil"
Paneer Tikka Saddle Roll Recipe,"salt,wheat flour,hung curd,ginger,ghee,paneer,chaat masala powder,cloves garlic,gram flour,onion,lemon,coal giving smoked flavour,green bell pepper,mint leaves,turmeric powder,kasuri methi,garam masala powder"
Pan Fried Rice Balls Filled With Cheese Recipe,"salt,jasmine rice,eggs fork,mozzarella cheese,virgin olive oil,onion,parsley leaves,sweet corn,parmesan cheese,flour,wheat bread crumbs,butter,sunflower oil"
Spicy Seafood Stew Casserole With Tomatoes And Lime Recipe,"tomato,salt,cumin powder,red chillies,fish fillet basa,paprika powder,corianderleaves,chicken stock,cloves garlic,carrot,virgin olive oil,onion,lemon,baby potatoes,black pepper powder,coconut milk,clamps,prawns"
Spicy Chilli Garlic Noodles Recipe,"salt,water,cloves garlic,soy sauce,white vinegar,green bell pepper,tomato ketchup,onion,dry red chillies,black pepper powder,hakka noodles,red chilli sauce,sunflower oil"
Chanar Dal Recipe - Bengali Steel Paneer & Potato Gravy,"tomato,salt,ginger,bay leaf,paneer,potato,red chilli powder,dry red chilli,sugar,cumin seeds,panch phoran masala,turmeric powder,sunflower oil"
Cheesy Garlic Broccoli Nuggets Recipe,"salt,corn flour,nutralite cheesy garlic mayo,mozzarella cheese,nutralite garlic oregano pan roasting,broccoli florets,wheat bread crumbs"
Bengali radish potato vegetable recipe,"salt,kasundi mustard sauce,kalonji,green chilli,mustard oil,mustard seeds,potato,red chilli powder,sugar,onion,cumin seeds,turmeric powder,mooli mullangi"
Beetroot Sambar Recipe,"salt,coriander,tamarind water,asafoetida,mustard,curry leaves,dry red chilli,chakundar,sesame oil,arhar dal,sambar powder"
Kaddu Palak Roti Recipe (Pumpkin Spinach Flat Bread),"salt,wheat flour,spinach,red chilli powder,sunflower oil rotis,cumin seeds,parangikai pumpkin,coriander powder,water dough,turmeric powder"
Iranian Baida Curry Recipe,"salt,ginger,eggs,coconut,jaggery,cloves garlic,dry red chilli,corianderleaves,corianderseeds,onion,poppy seeds,badam,sesame seeds,sunflower oil"
Vegan Chickpea Omelette Recipe (Spiced Chickpea Flour Pancakes),"tomato,salt,ginger,asafoetida,corianderleaves,ajwain,cloves garlic,water,gram flour,baking soda,onion,coconut milk,turmeric powder,green chillies,sunflower oil"
Peanut Pudding Recipe - Salt Pudding / Firm Mod Modak,"salt,ginger,sunflower oil,asafoetida,mustard seeds,sesameoil,water,curry leaves,rice flour,green chillies,white urad dal"
Singapore Style Chicken Layered Fried Rice Recipe,"spring onion greens,cumin powder,carrot,onion,black pepper powder,green chillies,sunflower oil,eggs noodles tossed oil,salt,soy sauce,white pepper powder,rice,chinese spice powder,red chilli powder,garlic,lemon,classic mayonnaise,sweet spicy red chilli sauce,boneless chicken,ginger,spring onion,tomato ketchup,vinegar,green bell pepper,red chilli sauce"
Tofu Pulao Recipe,"turmeric powder,salt,tomato take,rice,ghee,capsicumred yellow,red chilli powder,lentil sugar,ginger garlic paste,coriander,bay leaf,onion,coriander powder,tofu,green chillies,cumin seeds,garam masala powder"
Masala Sandwich Recipe With Rocket Leaves,"tomato,pav bhaji masala,salt,ginger,french bread rye bread,corianderleaves,paneer,rocket leaves salad leaves the sandwich,cloves garlic,onion,green bell pepper,potato"
Tomato Relish Recipe,"tomato,salt,red wine vinaigrette,cloves garlic,virgin olive oil,onion,black pepper powder,dijon mustard,cane sugar,dried oregano"
Dubuk Vade Recipe - Khandeshi Gram Flour Dumpling Curry,"salt,corianderleaves,coconut,red chilli powder,cloves garlic,gram flour,onion,cumin seeds,turmeric powder,garam masala powder"
Radish Soup Recipe,"salt,corianderleaves,water,mooli mullangipurple,black pepper powder,mooli mullangi,garam masala powder"
Mango Donut Cake Recipe With Chocolate Glaze,"baking powder,salt,mango pulp,baking soda,vivatta maida,sugar,vanilla,dark chocolate,cocoa powder,sunflower oil"
Matar Paneer Kachori Korma Recipe - Green Peas And Paneer Kachori Curry,"tomato,corianderleaves,ajwain,onion,cumin seeds,turmeric powder,sunflower oil,salt,cardamompodsseeds,mace,cashews,flour,garam masala powder,red chilli powder,curd,sugar,pepper,kasuri methi,amchur,paneer,green peas,ginger garlic paste,cinnamon stick,coriander powder,cloves"
Zucchini Roll Up Lasagne Recipe,"tomato,salt,red bell pepper,rosemary,black pepper corns,mozzarella cheese,virgin olive oil,cloves garlic,red chilli flakes,basil leaves,sugar,onion,thyme leaves,green zucchini"
Thengai Sadam Recipe (A Quick and Healthy Coconut Rice),"green chillies,salt,ginger,rice,mustard seeds,coconut,curry leaves,white urad dal,coconut oil,chana dal,peanutsfistful"
Karwar Style Ambade Udid Methi Recipe - Hog Plum Curry,"salt,coconut,asafoetida,karela,hog plum,rice,jaggery,black peppercorns,black urad dal,dry red chilli,mustard seeds,corianderseeds,methi seeds,turmeric powder,sunflower oil"
Roasted Cauliflower Recipe,"herbs herbs choice like basil,salt,black pepper powder red chilli powder,anardana powder,cauliflower,virgin olive oil,garlic,cumin seeds,pomegranate molasses or,coriander powder"
Pain Viennois | Vienna Bread Recipe,"salt,water,dry yeast,sugar,vivatta maida bread flour,eggs brushing (or milk,milk powder,butter"
Crunchy Ginger Capsicum Rice Recipe,"yellow bell pepper,basmati rice,red bell pepper,ginger,salt,sesame seedsmixed black white,green bell pepper,green chillies,butter"
Bengali Chirer Payesh / Poha Pudding Recipe With Nolen Gur,"salt,nolen gur brown sugar,cardamompodsseeds,poha,milk,saffron strands,raisins,mixed nuts almondscashews,rice flour"
Shanghai Style Chap Nian Gao Recipes (Stir Fried Rice Cakes Recipes),"salt,corn flour,bok choy,carrot,dark soy sauce,sugar,bean paste,button mushrooms,rice flour,red chilli sauce,cabbage,sunflower oil"
White Pumpkin Mor Kuzhambu Recipe - Kerala Style White Pumpkin Curry,"salt,coconut,mustard seeds,vellai poosanikai,water,dry red chilli,curd,curry leaves,coconut oil,methi seeds,black pepper powder,turmeric powder,green chillies"
Paneer and Green Peas Paratha Recipe - Paneer and Green Peas Paratha Recipe,"turmeric powder,salt,wheat flour,mango powder powder,ginger green chilli,red chilli powder,water,oil,coriander powder,cheese crumble,green peas"
Elephant Yam Raita (Recipe In Hindi),"salt,rye,ginger,green chilli,kali urad dal,coriander,elephant yam,curd,oil,asafetida"
Drunken Noodles Recipe - Drunken Noodles Recipe,"fish sauce,ginger,capsicum,capsicum,capsicum,thai basil leaves,cloves garlic,baby corn,soy sauce,sriracha sauce,green onion,rice noodles,brown sugar"
Chettinad Style Prawn Biryani Recipe,"basmati rice,black peppercorns,curry leaves,cumin seeds,turmeric powder,green chilli paste,sunflower oil,black cardamom,ginger paste,cardamompodsseeds,garam masala powder,coconut,red chilli powder,dry red chilli,garlic paste,hung curd,bay leaves,ghee,shrimps prawns,cinnamon stick,coriander powder"
Walnut and Flax Seed Trail Mix Recipe With Figs and Honey,"dried figs,flax seeds,peanuts,walnuts,cinnamon powder"
Murgh Malaiwala Recipe - Chicken In Rich Creamy Gravy,"salt,bay leaf,ghee,milk,gram chicken,onion,lemon,badampaste,cardamom powder,black pepper powder,cinnamon stick,ginger paste,kasuri methi,garlic paste"
Paal Kesari Recipe - South Indian Style Milk Kesari,"cashew nuts,ghee roasting the rava,mixed dry fruits,cardamompodsseeds,ghee,milk,raisins,sugar,saffron strands,sooji"
Spicy Lemon Chicken Kebab Recipe,"salt,red bell pepper,red chilli flakes,virgin olive oil,onion,lemon,thyme leaves,black pepper powder,chicken breasts"
Paneer Butter Masala Biryani Recipe - Layered Paneer Butter Masala Biryani Recipe,"tomato,cloves garlic,kasoori methi,onion,cardamom,salt,green chilli,cottage cheese cube,cinnamon,cashews,garam masala powder,star anise,cardamom powder,rice,red chilli powder,water,mint,corianderleaves,ginger,ghee,cumin powder,bay leaf,salt oil,black pepper"
Gond Ke Ladoo Recipe - Edible Gum Ladoo,"cashew nuts,wheat flour,ghee,dry coconut,sugar,badam,goond"
Kobari Charu recipe - Kobbari Charu Recipe,"salt,coriander leaves,chana lentils,spoon turmeric powder,water,mustard,curry leaves,oil,coconut milk,green chillies,cumin seeds"
Basil Tincture Recipe (Or) - Herbal Drink From Basil,"water,dry ginger powder,tulsi,black pepper powder,palm sugar"
Carrot Corn Mayo Pancake Recipe With Sandwich Spread,"baking powder,wheat flour,salt,corianderleaves,black pepper powder,carrot,baking soda,curd,onion,del monte sandwich,sweet corn,eggs,green chillies,butter"
Tamil Nadu Style Spicy Egg Fry Recipe,"salt,ginger,gram dal,cloves garlic,black peppercorns,dry red chillies,eggs,sunflower oil"
Chirer Dudh Puli Recipe - Bengali Style Baten Rice Dumpling Milk,"palm jaggery date palm jaggery,coconut,poha,milk,sooji,flour"
Waffle Broth Recipe - Puppet's Yamarinta Crovy,"urad dal papad,salt,tamarind water,asafoetida,mustard seeds,jaggery,water,pearl onion,curry leaves,dry red chillies,gingelly oil,methi seeds,turmeric powder,sambar powder"
Kashmiri Style Modur Pulao With Pomegranate Recipe,"cashew nuts,salt,cumin powder,cardamompodsseeds,ghee,anardana powder,milk,saffron strands,raisins,water,cinnamon stick,badam,basmati rice hour,dates,cloves,sunflower oil"
North Indian Style Mushroom Matar Masala Recipe,"tomato paste,green chilli,coriander powder,mustard seeds,asafoetida,green peas,red chilli powder,water,onion paste,ginger garlic paste,corianderleaves,onion,cumin seeds,button mushrooms,turmeric powder,garam masala powder,sunflower oil"
Dhania Chole Masala Recipe - Chickpeas In Fresh Coriander Gravy,"salt,black salt,ginger,corianderleaves,ghee,bay leaf,cloves garlic,kabuli chana,onion,lemon,cinnamon stick,brown cardamom,coriander powder,green chillies,garam masala powder"
Capsicum Masala Poriyal (Recipe in Hindi),"salt,peanuts roast,coconut,capsicum,capsicum,capsicum,mustard,curry leaves,cloves garlic un,dry red chillies,onion,oil,corianderleaves,cumin seeds"
Kerala Style Raw Banana and Suran Kotu Curry Recipe - Kerala Style Plantain & Yam Thoran Recipe,"turmeric powder,salt,green chilli,coconut,red chilli powder,cloves garlic,banana,mustard,oil,black gram,suran,cumin seeds,black pepper"
Cheese Stuffed Aloo Bonda Recipe,"coriander,salt,ginger,mustard seeds,asafoetida,mozzarella cheese,gram flour,onion,potato,turmeric powder,green chillies,sunflower oil"
Dahi Wale Paneer Recipe - Paneer In A Curd Gravy,"tomato,red bell pepper,red chillies,cumin powder,cashews almonds,paneer,corianderleaves,cloves garlic,onion,lemon,ginger chooped,gram curd,coriander powder,turmeric powder,butter,garam masala powder"
Nutty Aloo Paratha Recipe,"salt,wheat flour,cumin powder,corianderleaves,paneer,ghee,raisins,water make pliable dough,red chilli powder green chillies,potato,spinach leaves,garam masala powder,mixed nuts"
Chicken Tikka Taco Recipe Topped With Cheesy Garlic Mayo,"re beans,nutralite cheesy garlic mayo,summer salad,tomato salsa,taco shells,hariyali chicken tikka"
Masalewali Turai Sabzi Recipe - Masalawali Turai Sabzi Recipe,"tomato,turmeric powder,salt,ginger,coriander leaves,jaggery,red chilli powder,water,mustard,oil,spoon coriander powder,cumin seeds,trumpet"
Pudina Mushroom And Soya Biryani Recipe,"ajwain,cloves garlic,onion,soy,turmeric powder,green chillies,salt,cardamompodsseeds,mint leaves,star anise,garam masala powder,red chilli powder,curd,button mushrooms,ginger,ghee,bay leaf,biryani masala,basmati rice spices infused water,cloves"
White Vegetable Kurma Recipe With Coconut & Cashew,"cashew nuts,salt,coconut,fennel seeds,cardamompodsseeds,cauliflower,black peppercorns,carrot,ginger garlic paste,onion,poppy seeds,cinnamon stick,cumin seeds,cloves,potato,green chillies,star anise,sunflower oil"
Muttaikose Poriyal Recipe - Cabbage Stir fry With Coconut,"salt,green chilli,mustard seeds,coconut,curry leaves,white urad dal,cabbage"
Bengaluru Style Brinjal Gravy Recipe - For Biryani,"tomato,salt,mustard seeds,brinjal,corianderleaves,jaggery,red chilli powder,black peppercorns,ginger garlic paste,onion,tamarind,turmeric powder,sunflower oil"
PF Chang's Style Crispy Chicken Lettuce Wraps Recipe,"sweet spicy red chilli sauce,salt,soy sauce,iceberg lettuce,spring onion,chilli vinegar,garlic,black pepper powder,button mushrooms,red chilli sauce,chicken breasts cm cubes,sunflower oil"
Lemon Frozen Yogurt Recipe,"orange,orange two,curd,sugar,vanilla drops,lemon,turmeric powder"
Paneer Capsicum Sandwich Recipe,"wheat brown bread,salt,green chilli,paneer,chaat masala powder,black pepper powder,green bell pepper,butter"
Dry Suran Masala Vegetable Recipe,"salt,elephant yam,ginger,cumin powder,red chilli powder,curry leaves,onion,garlic,cumin seeds,black pepper powder,coriander powder,turmeric powder,green chillies,garam masala powder,sunflower oil"
One Pot Pressure Cooker Chicken Curry Recipe - One Pot Pressure Cooker Chicken Curry Recipe,"tomato,turmeric powder,salt,ginger,red chilli powder,water,curry leaves,garlic,onion,coriander powder,coconut oil,chicken breast,garam masala powder"
Lauki Ka Salan Recipe - Bottle Gourd Salan Recipe,"tomato,salt,ginger,tamarind water,mustard seeds,coconut,red chilli powder,cloves garlic,corianderleaves,onion,bottle gourd,cumin seeds,methi seeds,peanuts,sesame seeds,coriander powder,turmeric powder,green chillies,sunflower oil"
Togari Bell Thove Recipe - Tour Dal Juice,"ginger,arhar dal,ghee,mustard seeds,asafoetida,corianderleaves,water,curry leaves,lemon,tamarind,turmeric powder,green chillies"
Chicken Shawarma Recipe,"salt,cumin powder,wheat flour,hummus,milk,red chilli powder,virgin olive oil,dry yeast,ginger garlic paste,carrot,sugar,tomato pulp,chilli vinegar,tzatziki,onion,black pepper powder,cucumber,coriander powder,chicken breasts,turmeric powder"
Mushroom Paratha Recipe,"salt,wheat flour,onion,cumin seeds,ghee parathas,ghee,oil,button mushrooms,turmeric powder,green chillies,garam masala powder,sunflower oil"
Palak Chana Dal Recipe - Healthy Spinach Gram Dal Recipe,"tomato,salt,green chillies,cumin powder,chana dal,ghee,asafoetida,red chilli powder,water,ginger garlic paste,dry red chillies,onion,cumin seeds,turmeric powder,spinach leaves"
Pasi Paruppu Kosumalli Recipe (Spiced Lentil Salad Recipe),"salt,yellow moong dal,coconut,mustard seeds,asafoetida,corianderleaves,carrot,curry leaves,lemon,cucumber,green chillies,sunflower oil"
Maharashtrian Style Semolina and Yogurt Cake Recipe,"cashew nuts,baking powder,ghee,saffron strands,raisins,curd,cardamom powder,caster sugar,sooji"
Ragi Masala Roti Recipe,"salt,dill leaves,corianderleaves,ghee,carrot,ragi flour,onion,cumin seeds,green chillies"
Dry Sweet Potato Thoran Recipe,"salt,asafoetida,mustard seeds,curry leaves,white urad dal,onion,rasam powder,turmeric powder,sweet potatoes,sunflower oil"
Oreo Milkshake Recipe,"chocolate sauce,heavy whipping cream,oreo biscuits,milk,scoops,vanilla ice"
Mexican Grilled Corn Flavoured With Cheesy Garlic Mayo Recipe,"paprika powder,corianderleaves,lemon wedged,sweet corn,parmesan cheese,butter,del monte cheesy garlic mayo"
Paneer Matar Butter Masala (Indian Cottage Cheese and Peas Masala With Butter) Recipe,"tomato,salt,cashew nuts,ginger,ghee,paneer,cardamompodsseeds,milk,green peas,red chilli powder,onion red,cloves garlic,black peppercorns,sugar,dry red chillies,cinnamon stick,corianderseeds,kasuri methi,sunflower oil"
Dhugare Baingan Recipe - Dhungare Baingan Recipe,"kashmiri red chilli powder,green chilli,yogurt,salt ghee,cumin powder,eggsplant,coriander,onion,garam masala powder"
Rajasthani Style Dried Gatta Capsicum Vegetable Recipe,"salt,amchur,asafoetida,ajwain,red chilli powder,gram flour,curd,corianderleaves,cumin seeds,green bell pepper,coriander powder,turmeric powder,garam masala powder,sunflower oil"
Indo Chinese Crispy Chicken Chilli Recipe,"salt,ginger,corn flour,soy sauce,water,green chilli sauce,garlic,chicken,onion,vinegar,black pepper powder,green bell pepper,tomato pasta sauce,flour,red chilli sauce,green chillies,sunflower oil"
And fish soup recipe - Bengali fish curry,"tomato,salt,corianderleaves,aar maach,bay leaf,mustard oil,red chilli powder,water,ginger garlic paste,cumin seeds,coriander powder,turmeric powder,green chillies"
Stem Lettuce Tamarind Broth Recipe - Surri left behind by Amarnath Greens,"tomato,salt,tamarind pulp,mustard seeds,asafoetida,methi powder,sesameoil,cloves garlic,curry leaves,onion,green amaranth leaves,sambar powder"
Crispy Masala Peanuts Recipe - Gujarati Sing Bhujia,"salt,chaat masala powder,red chilli powder,water,gram flour,peanuts,black pepper powder,coriander powder,rice flour,sunflower oil"
Maa Ki Dal (Recipe),"tomato,salt,ginger,kashmiri red chilli powder,ghee,kidney beans,black urad dal,coriander powder,cumin seeds,garam masala powder"
Palak Mushroom Makhani Recipe - Creamy Spinach & Mushroom,"tomato,green chillies,cumin powder,ginger,button mushrooms,salt,ghee,cloves garlic,cinnamon stick,cumin seeds,turmeric powder,spinach leaves,garam masala powder"
Dahi Bhalla Papdi Chaat Recipe,"cumin powder,curd vada,anardana powder,chaat masala powder,boondi sev,sweet chutney,carrot,corianderleaves,onion,peanuts,papdi puris,green chutney"
Wheat Grass Shikanji - Wheat Grass Lemonade Recipe,"black salt,cumin powder,lemon,black pepper powder,wheat grass powder"
Chole Masala Recipe - Dry Masala Chickpeas (Recipe),"turmeric powder,salt,gingerpaste,red chilli powder,kabuli channa soak then boil,spoon cumin powder,amchoor powder,oil,coriander powder,chana masala powder,cumin seeds"
Rajasthani Kachri Chutney Recipe - Rajasthani Kachri Ki Chutney Recipe,"salt,ghee,cloves garlic,curd,kachris,dry red chillies,cumin seeds"
Fasting Potato Paneer Recipe - Potato Paneer Curry Without Onion And Garlic Recipe,"tomato,salt per,gms cheese,ginger grated,red chilli powder,coriander powder,potatoes,oil corianderleaves finely,green chillies,cumin powder baked"
 Katachi Amti (Recipe In Hindi),"salt,cumin,black peppers,lentil water chana lentil water,coriander leaves,curry leaves break,jaggery,water,mustard,bay leaf,goda masala,oil,tamarind paste reduce you like"
Khara Obbattu Recipe (Bread Stuffed With Spicy Potato Mixture Recipe),"salt,wheat flour,ginger,red chilli powder,cloves garlic,curry leaves,curd,corianderleaves,onion,cumin seeds,potato,sooji,flour,turmeric powder,green chillies,sunflower oil"
